ID_ВАК;ЗАР_ПЛАТ;ТРЕБ_НАВ;ТРЕБ_ОП;РЕЖ_РАБ;ФОРМ_ЗАН
667;176695;python;Нет опыта;4 часа в день;Удаленная работа
668;123866;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
669;181903;;от 5 лет;Полный рабочий день;Офис
670;250355;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
671;271257;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
672;250476;excel,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
673;101977;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
674;85296;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
675;119077;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
676;271355;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
677;252730;python;Нет опыта;4 часа в день;Удаленная работа
678;134527;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
679;142892;;от 5 лет;4 часа в день;Удаленная работа
680;109696;numpy,excel,python;от 5 лет;Полный рабочий день;Удаленная работа
681;264591;excel,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
682;221296;numpy,excel,python;Нет опыта;4 часа в день;Гибрид
683;299884;numpy,python;1-3 года;4 часа в день;Гибрид
684;144284;;1-3 года;Полный рабочий день;Гибрид
685;244417;excel,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
686;61640;excel,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
687;236875;numpy,excel,python;от 5 лет;Полный рабочий день;Удаленная работа
688;264585;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
689;150899;numpy,python;от 5 лет;4 часа в день;Удаленная работа
690;276910;excel,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
691;116419;;1-3 года;Полный рабочий день;Гибрид
692;240210;;1-3 года;4 часа в день;Удаленная работа
693;111966;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
694;127798;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
695;254310;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
696;73186;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
697;220493;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
698;294668;python;Нет опыта;Полный рабочий день;Офис
699;221604;python;1-3 года;Полный рабочий день;Офис
700;259521;python;1-3 года;Полный рабочий день;Офис
701;293690;python;Нет опыта;4 часа в день;Офис
702;246751;excel,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
703;133145;;Нет опыта;Полный рабочий день;Удаленная работа
704;51069;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
705;151924;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
706;264421;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Офис
707;99591;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
708;140278;numpy,python;Нет опыта;4 часа в день;Офис
709;272093;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
710;299264;numpy,excel,python,c++;1-3 года;Полный рабочий день;Удаленная работа
711;202654;numpy,python;1-3 года;4 часа в день;Гибрид
712;215769;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
713;132927;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
714;224966;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
715;239341;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
716;249673;numpy,excel,python;от 5 лет;4 часа в день;Офис
717;278162;;1-3 года;4 часа в день;Удаленная работа
718;151126;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
719;170317;numpy,python;1-3 года;Полный рабочий день;Гибрид
720;247432;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
721;203523;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
722;296897;numpy,python;1-3 года;Полный рабочий день;Офис
723;195010;excel,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
724;118788;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
725;293434;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
726;203724;;Нет опыта;4 часа в день;Гибрид
727;61688;numpy,python;Нет опыта;4 часа в день;Гибрид
728;259220;python;Нет опыта;4 часа в день;Удаленная работа
729;141806;numpy,python;Нет опыта;Полный рабочий день;Офис
730;136391;numpy,python;Нет опыта;Полный рабочий день;Офис
731;118744;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
732;275768;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
733;239372;numpy,python;1-3 года;4 часа в день;Гибрид
734;222315;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
735;154993;;от 5 лет;4 часа в день;Офис
736;149901;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
737;209440;numpy,excel,python;Нет опыта;Полный рабочий день;Гибрид
738;137118;numpy,excel,python,c++;от 5 лет;4 часа в день;Гибрид
739;166023;numpy,excel,python,c++;1-3 года;Полный рабочий день;Офис
740;122811;python;Нет опыта;Полный рабочий день;Удаленная работа
741;195833;numpy,excel,python,c++;1-3 года;4 часа в день;Офис
742;284412;numpy,python;1-3 года;4 часа в день;Офис
743;264445;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
744;61096;numpy,excel,python;1-3 года;Полный рабочий день;Офис
745;166018;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
746;80978;numpy,python;Нет опыта;4 часа в день;Офис
747;159141;numpy,excel,python,c++;1-3 года;4 часа в день;Офис
748;102403;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
749;186189;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
750;171025;;от 5 лет;Полный рабочий день;Удаленная работа
751;274268;;1-3 года;Полный рабочий день;Гибрид
752;61280;numpy,excel,python,c++;от 5 лет;4 часа в день;Гибрид
753;237818;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
754;167793;numpy,excel,python;от 5 лет;4 часа в день;Гибрид
755;169117;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
756;161882;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Удаленная работа
757;236936;numpy,python;от 5 лет;4 часа в день;Гибрид
758;182608;numpy,excel,python;1-3 года;4 часа в день;Гибрид
759;137454;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
760;257635;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Гибрид
761;86338;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Офис
762;90734;numpy,excel,python;Нет опыта;4 часа в день;Гибрид
763;182888;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
764;136296;;от 5 лет;4 часа в день;Удаленная работа
765;133367;numpy,excel,python;1-3 года;Полный рабочий день;Удаленная работа
766;264654;;1-3 года;Полный рабочий день;Гибрид
767;165894;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
768;79688;;1-3 года;4 часа в день;Гибрид
769;146011;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
770;297042;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
771;120208;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
772;62834;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
773;171002;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Удаленная работа
774;70438;numpy,python;от 5 лет;4 часа в день;Офис
775;118241;numpy,python;от 5 лет;4 часа в день;Офис
776;56876;numpy,excel,python;1-3 года;Полный рабочий день;Удаленная работа
777;88305;numpy,python;от 5 лет;Полный рабочий день;Офис
778;164255;numpy,excel,python,c++;1-3 года;4 часа в день;Гибрид
779;173346;numpy,excel,python;от 5 лет;Полный рабочий день;Офис
780;82465;;от 5 лет;4 часа в день;Гибрид
781;223352;numpy,excel,python,c++;Нет опыта;4 часа в день;Гибрид
782;207944;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
783;72209;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
784;199735;numpy,excel,python;1-3 года;4 часа в день;Офис
785;202908;numpy,python;1-3 года;4 часа в день;Гибрид
786;145887;numpy,excel,python,c++;Нет опыта;4 часа в день;Удаленная работа
787;191697;;от 5 лет;4 часа в день;Гибрид
788;129578;numpy,python;1-3 года;Полный рабочий день;Гибрид
789;295781;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Офис
790;284427;numpy,excel,python,c++;Нет опыта;4 часа в день;Удаленная работа
791;105152;numpy,excel,python;от 5 лет;Полный рабочий день;Офис
792;65284;numpy,excel,python;от 5 лет;4 часа в день;Офис
793;249156;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
794;159319;python;от 5 лет;4 часа в день;Гибрид
795;159421;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
796;197663;numpy,python;1-3 года;4 часа в день;Офис
797;95612;python;1-3 года;4 часа в день;Гибрид
798;168742;numpy,python;от 5 лет;Полный рабочий день;Удаленная работа
799;150485;numpy,python;от 5 лет;Полный рабочий день;Гибрид
800;265530;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
801;275921;numpy,excel,python,c++;1-3 года;Полный рабочий день;Офис
802;96206;numpy,excel,python,c++;Нет опыта;4 часа в день;Удаленная работа
803;157526;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
804;198682;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
805;264789;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
806;280304;numpy,excel,python;Нет опыта;Полный рабочий день;Удаленная работа
807;243929;numpy,excel,python;1-3 года;4 часа в день;Удаленная работа
808;150302;numpy,python;1-3 года;4 часа в день;Офис
809;70685;python;от 5 лет;4 часа в день;Офис
810;96944;python;Нет опыта;Полный рабочий день;Удаленная работа
811;191046;python;1-3 года;Полный рабочий день;Офис
812;260904;numpy,excel,python,c++;от 5 лет;4 часа в день;Офис
813;280090;numpy,excel,python,c++;1-3 года;Полный рабочий день;Офис
814;100716;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
815;207766;numpy,python;Нет опыта;4 часа в день;Гибрид
816;66512;numpy,python;от 5 лет;4 часа в день;Гибрид
817;74013;;1-3 года;Полный рабочий день;Гибрид
818;96359;numpy,python;от 5 лет;4 часа в день;Удаленная работа
819;76061;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Гибрид
820;238482;;Нет опыта;Полный рабочий день;Гибрид
821;242619;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
822;54852;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
823;129417;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
824;65039;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
825;166106;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
826;220441;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
827;263103;numpy,python;1-3 года;4 часа в день;Офис
828;55532;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
829;282824;;1-3 года;Полный рабочий день;Гибрид
830;105454;python;1-3 года;Полный рабочий день;Гибрид
831;58677;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
832;206845;numpy,excel,python,c++;Нет опыта;4 часа в день;Офис
833;264260;numpy,excel,python;1-3 года;4 часа в день;Гибрид
834;57097;numpy,excel,python,c++;1-3 года;Полный рабочий день;Гибрид
835;116118;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
836;277877;numpy,excel,python,c++;Нет опыта;4 часа в день;Удаленная работа
837;145364;numpy,excel,python;1-3 года;4 часа в день;Офис
838;61986;python;от 5 лет;4 часа в день;Офис
839;176658;numpy,python;Нет опыта;Полный рабочий день;Гибрид
840;192452;;от 5 лет;4 часа в день;Удаленная работа
841;282096;numpy,excel,python,c++;1-3 года;4 часа в день;Офис
842;65326;numpy,excel,python;от 5 лет;Полный рабочий день;Гибрид
843;271120;python;от 5 лет;4 часа в день;Гибрид
844;52315;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
845;139851;numpy,excel,python,c++;1-3 года;Полный рабочий день;Удаленная работа
846;64647;;Нет опыта;4 часа в день;Офис
847;64310;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
848;292828;;1-3 года;4 часа в день;Гибрид
849;266111;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Удаленная работа
850;53470;python;Нет опыта;4 часа в день;Удаленная работа
851;274027;;Нет опыта;Полный рабочий день;Гибрид
852;72221;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
853;106683;numpy,python;от 5 лет;4 часа в день;Офис
854;141948;numpy,excel,python;от 5 лет;Полный рабочий день;Гибрид
855;130977;numpy,python;1-3 года;Полный рабочий день;Удаленная работа
856;62546;python;Нет опыта;4 часа в день;Гибрид
857;74509;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Удаленная работа
858;209499;numpy,excel,python;Нет опыта;4 часа в день;Гибрид
859;69591;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Удаленная работа
860;265832;numpy,excel,python,c++;1-3 года;4 часа в день;Гибрид
861;116859;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
862;260469;numpy,python;1-3 года;4 часа в день;Удаленная работа
863;262317;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
864;192141;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
865;106503;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
866;266478;numpy,excel,python,c++;1-3 года;Полный рабочий день;Удаленная работа
867;64099;excel,python,numpy,java,c++;1-3 года;4 часа в день;Офис
868;148409;;Нет опыта;4 часа в день;Офис
869;98618;python;1-3 года;4 часа в день;Офис
870;50128;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
871;83145;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
872;258203;numpy,python;от 5 лет;Полный рабочий день;Гибрид
873;230546;python;от 5 лет;4 часа в день;Удаленная работа
874;272785;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
875;216592;;Нет опыта;Полный рабочий день;Гибрид
876;92067;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
877;243865;numpy,excel,python;1-3 года;Полный рабочий день;Удаленная работа
878;83881;numpy,excel,python,c++;от 5 лет;4 часа в день;Офис
879;213857;python;Нет опыта;4 часа в день;Гибрид
880;133132;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
881;257948;python;от 5 лет;Полный рабочий день;Удаленная работа
882;146362;numpy,python;1-3 года;Полный рабочий день;Офис
883;283822;numpy,excel,python;1-3 года;Полный рабочий день;Удаленная работа
884;174560;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
885;242538;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
886;258108;numpy,excel,python;Нет опыта;4 часа в день;Офис
887;88757;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
888;213487;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
889;245613;;от 5 лет;4 часа в день;Удаленная работа
890;183823;;Нет опыта;Полный рабочий день;Гибрид
891;235843;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
892;143171;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
893;297739;numpy,python;1-3 года;Полный рабочий день;Офис
894;136570;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
895;159605;python;от 5 лет;4 часа в день;Гибрид
896;285054;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
897;233665;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
898;70811;;Нет опыта;4 часа в день;Гибрид
899;145191;python;Нет опыта;4 часа в день;Гибрид
900;292870;numpy,excel,python,c++;Нет опыта;4 часа в день;Удаленная работа
901;100695;python;1-3 года;4 часа в день;Удаленная работа
902;121762;numpy,python;от 5 лет;Полный рабочий день;Гибрид
903;153656;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
904;272390;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
905;194366;;Нет опыта;4 часа в день;Офис
906;228300;numpy,excel,python;от 5 лет;Полный рабочий день;Гибрид
907;74851;python;1-3 года;4 часа в день;Удаленная работа
908;266434;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
909;210887;numpy,excel,python;1-3 года;4 часа в день;Гибрид
910;117782;python;от 5 лет;Полный рабочий день;Офис
911;127681;;1-3 года;4 часа в день;Удаленная работа
912;198687;numpy,excel,python;1-3 года;4 часа в день;Удаленная работа
913;68232;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
914;169984;numpy,excel,python;Нет опыта;Полный рабочий день;Удаленная работа
915;235803;python;1-3 года;Полный рабочий день;Офис
916;109401;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
917;221242;python;1-3 года;Полный рабочий день;Удаленная работа
918;129283;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Удаленная работа
919;179522;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
920;234722;excel,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
921;169602;python;1-3 года;Полный рабочий день;Удаленная работа
922;207283;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
923;121916;numpy,excel,python,c++;Нет опыта;4 часа в день;Офис
924;153519;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
925;66505;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
926;241924;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
927;140328;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
928;125861;excel,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
929;56097;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Гибрид
930;166121;python;Нет опыта;4 часа в день;Удаленная работа
931;173248;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
932;241368;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
933;157710;numpy,excel,python;от 5 лет;Полный рабочий день;Гибрид
934;247214;;1-3 года;4 часа в день;Удаленная работа
935;94721;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
936;107021;python;1-3 года;4 часа в день;Гибрид
937;244307;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
938;181552;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
939;156503;;от 5 лет;Полный рабочий день;Гибрид
940;276878;numpy,excel,python,c++;1-3 года;Полный рабочий день;Офис
941;91430;python;от 5 лет;Полный рабочий день;Удаленная работа
942;69317;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
943;66480;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
944;133122;numpy,excel,python;Нет опыта;4 часа в день;Удаленная работа
945;99430;numpy,python;1-3 года;4 часа в день;Гибрид
946;189222;python;1-3 года;Полный рабочий день;Гибрид
947;252650;;1-3 года;Полный рабочий день;Удаленная работа
948;52905;python;от 5 лет;Полный рабочий день;Гибрид
949;144184;excel,pandas,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
950;117880;;1-3 года;4 часа в день;Гибрид
951;294502;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
952;142909;python;от 5 лет;4 часа в день;Удаленная работа
953;77058;;1-3 года;Полный рабочий день;Удаленная работа
954;118648;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
955;61733;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
956;147317;;1-3 года;4 часа в день;Офис
957;167735;python;от 5 лет;4 часа в день;Удаленная работа
958;126374;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
959;160045;python;1-3 года;Полный рабочий день;Офис
960;135675;python;1-3 года;Полный рабочий день;Гибрид
961;135702;python;Нет опыта;4 часа в день;Офис
962;59872;numpy,excel,python,c++;1-3 года;4 часа в день;Удаленная работа
963;146185;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
964;246378;numpy,excel,python;от 5 лет;Полный рабочий день;Удаленная работа
965;76843;python;Нет опыта;4 часа в день;Удаленная работа
966;173588;python;Нет опыта;Полный рабочий день;Гибрид
967;225833;numpy,excel,python;от 5 лет;Полный рабочий день;Удаленная работа
968;203066;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Удаленная работа
969;129987;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
970;139441;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
971;59579;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
972;149540;;1-3 года;4 часа в день;Офис
973;293707;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
974;85619;python;от 5 лет;4 часа в день;Гибрид
975;186009;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
976;252199;numpy,python;1-3 года;Полный рабочий день;Офис
977;77738;python;от 5 лет;4 часа в день;Удаленная работа
978;63169;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
979;180038;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
980;252650;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
981;293446;numpy,excel,python,c++;1-3 года;Полный рабочий день;Удаленная работа
982;56551;python;от 5 лет;Полный рабочий день;Гибрид
983;153444;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
984;262218;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
985;213237;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
986;73441;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
987;144908;python;1-3 года;4 часа в день;Гибрид
988;141262;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
989;90874;numpy,python;1-3 года;4 часа в день;Удаленная работа
990;92214;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Гибрид
991;233924;numpy,python;Нет опыта;4 часа в день;Гибрид
992;120681;numpy,excel,python,c++;1-3 года;Полный рабочий день;Удаленная работа
993;51453;;Нет опыта;Полный рабочий день;Удаленная работа
994;71729;numpy,excel,python,c++;от 5 лет;4 часа в день;Офис
995;254331;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
996;75304;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
997;287066;;Нет опыта;Полный рабочий день;Гибрид
998;121554;numpy,excel,python;Нет опыта;Полный рабочий день;Гибрид
999;219621;numpy,excel,python;1-3 года;4 часа в день;Удаленная работа
1000;267994;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
1001;209691;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
1002;157734;;1-3 года;4 часа в день;Офис
1003;236249;;1-3 года;Полный рабочий день;Гибрид
1004;113020;excel,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
1005;233182;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
1006;278445;numpy,excel,python,c++;Нет опыта;4 часа в день;Офис
1007;83627;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
1008;96135;numpy,excel,python,c++;от 5 лет;4 часа в день;Офис
1009;288797;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
1010;198490;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
1011;279758;numpy,excel,python;1-3 года;Полный рабочий день;Гибрид
1012;205252;numpy,python;от 5 лет;4 часа в день;Офис
1013;131929;python;Нет опыта;4 часа в день;Гибрид
1014;184654;numpy,excel,python,c++;Нет опыта;4 часа в день;Удаленная работа
1015;205398;;от 5 лет;Полный рабочий день;Удаленная работа
1016;291296;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
1017;211605;;1-3 года;4 часа в день;Гибрид
1018;247661;numpy,excel,python,c++;Нет опыта;4 часа в день;Офис
1019;184769;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
1020;250688;python;1-3 года;Полный рабочий день;Гибрид
1021;226973;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
1022;84081;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
1023;188525;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
1024;203400;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
1025;276477;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
